Id,column2_1,column2_2,columnN2_1,columnN2_2,dateTime,nneg,nneu,npos,partId,projectName,randomId,sort,timeLanding,timePostsort,timePresort,timeSort,urlUsercode,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19
Pu23FYQsD5,(s1) The environmental standards will change fundamentally the business logic of maritime transport. ,(s5) Cybersecurity is the biggest security threat in the future shipping.,(s8) This is nothing new. Maintaining is part of any investment.,(s18) When the new rules apply and new fuels come  it is easy to just fulfill the demand. Ports do not have to be forerunnes  just follow what shipping companies choose.,6/11/2023 @ 14:17:09,3,10,6,not required,Q-Sort Maritime Study,692431ed-008,2|1|-1|0|2|-1|1|-2|0|-1|0|-1|1|0|0|0|1|-2|0,00:00:05,00:02:33,00:02:32,00:03:47,no data,2,1,-1,0,2,-1,1,-2,0,-1,0,-1,1,0,0,0,1,-2,0
GGh5AGaAzv,(s4) This is a major concern not only for the next year but for a long time to come  but it has started recently,"(s2) This is a major concern not only for the next year but for a long time to come  but it has recently pickt up speed on the ""concernmeter""",(s12) Is not unique to the coming years  this problem exists every year and is something every shipping company needs to include in their calculations for a long time,(s11) No such revolutionary standards that would entail  for example  cost increases  are being introduced next year,6/11/2023 @ 9:14:53,2,6,11,not required,Q-Sort Maritime Study,e83b3f4c-b51,0|2|0|2|1|-1|0|0|1|-1|-2|-2|0|0|0|1|-1|1|-1,00:00:54,00:09:43,00:10:28,04:34:43,no data,0,2,0,2,1,-1,0,0,1,-1,-2,-2,0,0,0,1,-1,1,-1
ODQVwVkPlU,(s12) Hard to get the freight rate to compensate for volatility in bunker prices which are a big percentage of trhe total shipping cost.,(s8) Ports cannot receive and handle the amount of cargo available. ,(s3) We do not operate in waters where pirates operate,(s19) See no påroblems in shipyard availability. We only plan a few newbildings ahead and no retrofits.,6/11/2023 @ 14:00:57,2,8,9,not required,Q-Sort Maritime Study,d949c069-dc7,1|1|-2|0|-1|-1|0|2|0|-1|-1|2|0|1|0|0|1|0|-2,00:00:04,00:03:48,00:03:38,00:01:43,no data,1,1,-2,0,-1,-1,0,2,0,-1,-1,2,0,1,0,0,1,0,-2
HfTpjKMs2x,(s11) Knowing the regulations and keeping all informed and capable of following them is a real challenge  particularly with containerized cargo and HAZMAT regulations varying across geographies.,(s4) Equipment complexity and failures are both increasing as vessels have more automated devices with updatable software. This is a big issue. ,(s18) Nobody owns this issue for the most part. Port authorities often job out various roles at the port and are government entitites. ,(s5) Again  no one owns this. Charterers think its a non issue for the most part. Most ships have very little other than physical controls right now and do not want to spend money on this.,6/11/2023 @ 8:20:46,7,7,5,not required,Q-Sort Maritime Study,8325f938-3ec,1|0|0|2|-2|1|-1|-1|1|0|2|-1|0|0|1|-1|0|-2|0,00:00:03,00:03:32,00:01:16,00:01:40,no data,1,0,0,2,-2,1,-1,-1,1,0,2,-1,0,0,1,-1,0,-2,0
xBbkn_Y3G1,no response,no response,no response,no response,7/11/2023 @ 7:58:10,0,1,18,not required,Q-Sort Maritime Study,3f503400-5eb,1|2|-2|-1|-1|1|-2|1|0|1|-1|-1|0|0|0|0|0|2|0,00:01:26,00:00:10,00:03:10,00:02:35,no data,1,2,-2,-1,-1,1,-2,1,0,1,-1,-1,0,0,0,0,0,2,0
idBEDmUrUm,(s13) Plenty of research is already available on protecting marine biodiversity through responsible maritime practices plus the rapidity with which our sea beds are losing their ecosystem  and their crucial role in not just absorbing CO2 but also in food security globally and economic security for small island nations makes it the most pressing problem on my radar. ,(s5) As a security specialist  an all hazards approach must be embraced by the maritime sector and this includes proactive engagement against digital threats as this forms the backbone of autonomous maritime systems. ,(s12) Fuel prices involve larger forces that are beyond immediate remits of maritime industry. Fuel prices as we know depend on many factors especially geopolitical which cannot be resolved by maritime sector alone. So it is not an efficient choice to focus on in the short term,(s19) Shipyard availability is not area of expertise however from the knowledge of transport and port geography that I have  I do not agree that these constraints can be efficiently resolved in the short term as there are strategic considerations involved in onboarding new and better maritime artifacts to address the environmental aspects of old builds. We must focus on addressing the most pressing needs even on the back on equipment and architecture that we cannot dismantle in the short term. ,7/11/2023 @ 11:30:31,0,3,16,not required,Q-Sort Maritime Study,54ff1cb8-f74,0|0|-1|1|2|-1|1|1|0|-1|-1|-2|2|1|0|0|0|0|-2,00:00:04,00:09:52,00:02:24,00:11:50,no data,0,0,-1,1,2,-1,1,1,0,-1,-1,-2,2,1,0,0,0,0,-2
EvjSnYp6FA,(s18) Just in Time arrivals is the easiest way to massively reduce CO2 from the whole global fleet,(s14) The training is important both to increase safety and to implement environmental benefits,(s3) No major change needed in current strategies and actions (it is already taken care of),(s6) No major change needed in current strategies and actions (it is already taken care of),7/11/2023 @ 15:30:05,1,10,8,not required,Q-Sort Maritime Study,3b7fe01a-20f,0|0|-2|0|1|-2|0|0|-1|-1|1|-1|0|2|-1|0|1|2|1,00:00:07,00:02:39,00:02:33,00:03:28,no data,0,0,-2,0,1,-2,0,0,-1,-1,1,-1,0,2,-1,0,1,2,1
P6LqiB67ru,(s9) Those events may reshape supply chains and global shipping routes. ,(s6) Those events are disturbing supply chain in terms of supply  demand  transport and we need to improve the supply chain resilience and robustness. ,(s13) Those are important issues but not so urgent as the above ones for global supply chain management. ,(s8) Infrastructure can be always an issue but not as urgent as those needing immediate intention. ,7/11/2023 @ 22:42:37,0,7,12,not required,Q-Sort Maritime Study,1169add3-66e,0|0|1|1|0|2|-1|-2|2|0|1|0|-2|0|-1|0|-1|1|-1,no data,00:12:44,00:02:29,00:11:17,not set,0,0,1,1,0,2,-1,-2,2,0,1,0,-2,0,-1,0,-1,1,-1
XpEqx0R_3C,(s8) No infrastrcture no transition,(s1) Compliance is strong driver for change,(s6) Not critical  anyway Black Swan evetns can't be predicted  more immediate challenges to address,(s3) This has been on going for centuries  it is both political and commecial,8/11/2023 @ 10:09:09,4,7,8,not required,Q-Sort Maritime Study,05b6c241-0fb,2|0|-2|1|0|-2|1|2|-1|-1|0|0|-1|0|-1|0|0|1|1,00:00:09,00:02:08,00:02:05,00:02:14,no data,2,0,-2,1,0,-2,1,2,-1,-1,0,0,-1,0,-1,0,0,1,1
bjXFpBTyc9,(s2) ,(s6) due to the deglobalisation sentiment  there will be more and more barriers among regions/countries  be it natural or man-made. ,(s3) comparing to others decarbonisation etc.  it is less important. ,(s17) it has to do with demand forecasting and decarbonisation needs. ,8/11/2023 @ 14:49:44,1,9,9,not required,Q-Sort Maritime Study,30db2e0b-c26,0|2|-2|1|1|2|-1|-1|1|-1|0|0|0|0|0|0|-2|1|-1,00:00:13,00:16:41,00:03:36,00:05:09,no data,0,2,-2,1,1,2,-1,-1,1,-1,0,0,0,0,0,0,-2,1,-1
31ql9XM4vc,no response,no response,no response,no response,14/11/2023 @ 8:30:05,4,8,7,not required,Q-Sort Maritime Study,d01b78ae-e71,1|1|-1|2|0|1|1|-1|0|0|-1|-2|0|2|-1|0|0|0|-2,no data,00:00:09,00:02:33,00:02:06,not set,1,1,-1,2,0,1,1,-1,0,0,-1,-2,0,2,-1,0,0,0,-2
